,user_id,author,affiliation
203,qTFHbHcAAAAJ,Jurairat Boonruab,Thammasat University
204,Ii3pam0AAAAJ,Aua-aree Boonperm,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
205,eC_Fj1MAAAAJ,Dr.Pongsagon Vichitvejpaisal,"Faculty of Science and Technology, Thammasat University"
206,Ah17OAUAAAAJ,Pyae Pyae Phyo,"Sirindhorn International Institute of Technology, Thammasat University"
207,K59DsAYAAAAJ,Lalin Kovudhikulrungsri,Thammasat University
208,UYBOrx8AAAAJ,Nattagorn Choochouy,"Faculty of Public Health, Thammasat University"
209,yTuDX_AAAAAJ,Methawut Peerapornvitoon,Thammasat Business School
210,bEJVMRkAAAAJ,Niti Rattanaprichavej,"Lecturer at Thammasat Business School, Thammasat University"
211,uYC0ev0AAAAJ,Dr.Jittipat Poonkham,"Assistant Professor in International Relations, Thammasat University"
212,j1EEDVAAAAAJ,Rujira Chaysiri,"Sirindhorn International Institute of Technology, Thammasat University"
213,WACc7p8AAAAJ,Norapon Sukuntee,Thammasat University
214,IcyU_o8AAAAJ,Pachara Pacharavanich,Thammasat University
215,CqXuJJEAAAAJ,Yanisa Chaiya,Thammasat University
216,Inr0vGsAAAAJ,Deepshikha Bhargava,Ph.D fellow at Thammasat University
217,0zYPUFYAAAAJ,Istvan Rado,"Lecturer, Thammasat University"
218,GpXErcoAAAAJ,Mijanur Rahman,"Research Faculty, Sirindhorn International Institute of Technology, Thammasat University …"
219,F1KNLPoAAAAJ,Natee Sirisit,"Lecturer, Faculty of Science and Technology, Thammasat University"
220,j_-vVloAAAAJ,Wannipat Buated,"Lecturer of Physical Therapy, Thammasat University, Thailand"
221,GPHC1nYAAAAJ,Anuchit Toomaneejinda,Thammasat University
222,sqL68ngAAAAJ,Saung Hnin Pwint Oo,"Sirindhorn International Institute of Technology, Thammasat University"
223,AQJjKigAAAAJ,Surat Teerakapibal,"Thammasat Business School, Thammasat University"
224,O24K-w4AAAAJ,Preechaya Mongkolhutthi,Thammasat University
225,Y57MuVQAAAAJ,Munin Pongsapan,"Dean and Associate Professor, Faculty of Law, Thammasat University"
226,ks55vhEAAAAJ,Joshua D. Bernstein,Thammasat University
227,iSFagm4AAAAJ,Wilasinee Pananakhonsab,Thammasat University
228,DCooF0wAAAAJ,Dipendra KC,Thammasat University
229,WPuwUZMAAAAJ,Peraset Chompuming,Thammasat Business School
230,9mytLJIAAAAJ,Sarunwit Promsaka Na Sakonnakron,"University instructor, Thammasat University"
231,dq3WmHQAAAAJ,Nantapath Trakultraipruk,"Lecturer of Mathematics, Thammasat University"
232,p9PelikAAAAJ,Winyu Ardrugsa (วิญญู อาจรักษา),"Lecturer, Faculty of Architecture and Planning, Thammasat University"
233,ipJcMJcAAAAJ,Napong Tao Rugkhapan,"School of Global Studies, Thammasat University"
234,A2k2QQkAAAAJ,Wanissa Suanin,Thammsat University
235,iMRlM8sAAAAJ,Thanyaporn Soontornthum,Thammasat University
236,HybQ8ngAAAAJ,Harald Kraus,"Lecturer, Thammasat University, Thailand"
237,d2mMM0AAAAAJ,Romrawin Chumpu,Sirindhorn International Institute of Technology
238,vR6Vn6kAAAAJ,Winai Nadee,Thammasat Business School
239,zET-XbsAAAAJ,Tin Tin Khaing,"School of ICT, Sirindhorn International Institute of Technology, Thammasat University"
240,G047LH0AAAAJ,Anutchanat Jaroenjitrkam,Thammasat Business School
241,dcVpvJIAAAAJ,Kornkamon Tantiwanit,"Assistant Professor, Thammasat University"
242,Ax9NZsUAAAAJ,Thanaruk T.,"Sirindhorn International Institute of Technology, Thammasat University"
243,TYPnwPUAAAAJ,Naris Charoenporn,"Faculty of Engineering, Thammasat University, Thailand"
244,2UnQJJoAAAAJ,Suwadee Jiajaroen,Thammasat University
245,CWvrgp8AAAAJ,Somkiat Kosolsombat,Thammasat University
246,rMOfJy0AAAAJ,Fa Likitswat,"Assistant Professor of Landscape Architecture, Thammasat University"
247,Pujc2AoAAAAJ,Sukrit Vinayavekhin (Bank),"Lecturer of Innovation and Operations Management, Thammasat Business School"
248,Dlt8lIMAAAAJ,Panjasit Chokesamritpol,"PhD Candidate, Thammasat University"
249,CgtsqesAAAAJ,Jirapa Tangsritrakul,"Faculty of Science and Technology, Thammasat University"
250,85EifHMAAAAJ,Vimolchaya Yanasugondha,"Assistant Professor, Language Institute, Thammasat University"
251,JHcgfJAAAAAJ,Lapinee Kosonboon,Thammasat Business School
252,Nbx28GwAAAAJ,Alisara Rungnontarat CHARINSARN,Thammasat Business School
253,tVti2RUAAAAJ,Asan Suwannarit,"Faculty of Architecture and Planning, Thammasat University"
254,gsZZQLcAAAAJ,Supa Vittaporn,Thammasat University
255,qVvRRnYAAAAJ,Sustarum Thammaboosadee,Associate Professor Thammasat University
256,r7Sq8sEAAAAJ,Raisha Shrestha,Thammasat University
257,EolBIDUAAAAJ,surachai tumtavitikul,"Thammasat Business School, Thammasat University"
258,Ap9OHc8AAAAJ,Pattaramas Jantasin,"Lecturer, Language Institute, Thammasat University"
259,gp62eGMAAAAJ,Prakirati Satasut,"Faculty of Sociology and Anthropology, Thammasat University"
260,ZfaOXTIAAAAJ,Akanksha Bhurtel,"Sirindhorn International Institute of Technology, Thammasat University"
261,9h513rsAAAAJ,Chamath DY Yahampath Arachchige Don,"PhD student, Sirindhorn International Institute of Technology, Thammasat University"
262,rDT8OsUAAAAJ,Frederic Carral,Thammasat University
263,pxcBG9EAAAAJ,Chorney Eang,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
264,oZ6CJ6YAAAAJ,Frederic Carral,"Thammasat University, Bangkok"
265,DXcnFl0AAAAJ,Chanchai Tangruenrat,"Lecturer of Accounting, Thammasat Business School"
266,2uezSbcAAAAJ,Pit Jongwattanakul,"Faculty of Economics, Thammasat University"
267,cW56GYoAAAAJ,Sitthiphon Kruarattikan,"Associate Professor, Thammasat University"
268,lHMNqlUAAAAJ,Ekapon Thienthaworn,Thammasat University
269,UC06tasAAAAJ,Alim Bubu Swarga,"Postgraduate Student, Thammasat University"
270,PFgTJB4AAAAJ,Roongtip Duangkaew,Thammasat University
271,me74QsoAAAAJ,Vithearin CHORN,"Sirindhorn International Institute of Technology, Thammasat University"
272,ZFd-YFUAAAAJ,Sairag Sa-adprai,Thammasat University
273,LRgON_8AAAAJ,Thanatchaphan Petcharat,"College of Interdisciplinary Studies, Thammasat University"
274,hNfScgYAAAAJ,Pham Le Phuong Tu,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
275,E05cI2EAAAAJ,Anuwan Thongmooh,Thammasat University
276,M8J4XTsAAAAJ,Krit Pattamaroj,"Department of Operations Management, Thammasat Business School"
277,ikwIuPQAAAAJ,Nontawan Yomchinda,Thammasat Business School
278,rkXitr0AAAAJ,Supoj Chawawiwat,"Professor of logistics and maritime transport, Thammasat University"
279,hJmsXnEAAAAJ,APINANT Phongmethakul,"Instructor, Faculty of Architecture and Planning, Thammasat University, Thailand."
280,7HQzgrUAAAAJ,Chol Bunnag,"Faculty of Economics, Thammasat University"
281,VjdiUagAAAAJ,Wonghatai Tunshevavong,"Assoc. Prof. of Faculty of Journalism and Mass Communication, Thammasat University"
282,OGVgO6UAAAAJ,Patipat Sathaporn,"Thammasat Secondary School, Faculty of Learning sciences and Education, Thammasat …"
283,TLFWD2cAAAAJ,Benjamas Tulyanitikul,Thammasat University
284,Lnz5GzUAAAAJ,Sompoke Kingkaew,"Lecturer in Environmental Health, Thammasat University"
285,14OweVIAAAAJ,Chandra Restu Pakarti,Master Student at Sirindhorn International Institute of Technology Thammasat University
286,aD2BTokAAAAJ,Su Su Nwal,"PhD candidate, Thammasat University"
287,n0x3Lh0AAAAJ,Poompak Kusawat,"PhD Candidate, Thammasat University"
288,MAkv2BEAAAAJ,Parichart Pattarapanitchai,"PhD Candidate, Thammasat University"
289,AyhSxrsAAAAJ,Dr. Aung Naing Oo,"School of Global Studies, Thammasat University"
290,xiC0frUAAAAJ,sivarin lertpusit,Thammasat University
291,m-GKlyUAAAAJ,Shekhar Mahat,Thammasat University
292,-jZ4QcIAAAAJ,Kraithep Sirisanwannakul,Sirindhorn International Institute of Technology
293,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
294,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
295,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
296,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
297,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
